uri,cid,author_did,author_handle,author_display_name,text,created_at,reply_count,repost_count,like_count,indexed_at,langs
at://did:plc:zvnazwflp7aeqhgy22y6zy2f/app.bsky.feed.post/3lv6ekz3vg22n,bafyreidpdnqfg7hhna4pogmz5taa2b7t6ovmsgq65o62ie4elunz4zboqa,did:plc:zvnazwflp7aeqhgy22y6zy2f,aijastacenko.bsky.social,Aija Stacenko,"Haha. Es sevišķi nevaru ciest agro pļaušanu, pie manējiem Kārsavā dažreiz 6 sāk. Traki bija jūnijā, kad tikai 2 dienas no 20 nelija, tad to vien kā pļaušanu dzirdēja.",2025-07-30T10:03:12.113Z,0,0,1,2025-07-30T10:03:28.507Z,['en']
at://did:plc:74xjlh7ae6jcdhstrjcx4vsx/app.bsky.feed.post/3lv6ekd44vs2l,bafyreieu4tomiwsq37sm54a3ustz4bgcgk2gtd6exf53cf2mayjyzhwlu4,did:plc:74xjlh7ae6jcdhstrjcx4vsx,baruquinhobr.bsky.social,Theo Baruquinho - Brasil SOBERANO 🇧🇷,Não gosto e nunca gostei do Agro Pop,2025-07-30T10:02:49.052Z,0,1,2,2025-07-30T10:02:53.007Z,['pt']
at://did:plc:3ah7euianvaron24u32iuimy/app.bsky.feed.post/3lv6c5xyjtk2m,bafyreiedakzlzwv4ek6oojulpwnmrm5gkq2sfgdsxiomvkrugi3m5bg3gm,did:plc:3ah7euianvaron24u32iuimy,tomatesahraouie.bsky.social,Tomate sahraouie,"Et un modèle agro exportateur catastrophique, socialement et pour l'environnement. 
Que le Maroc impose au Sahara occidental.
Qui en parle ? tomatesahraouie.wordpress.com 
Comment la Grande Distribution soutient l’exploitation du SAHARA OCCIDENTAL",2025-07-30T09:20:07.263Z,0,0,0,2025-07-30T09:20:10.108Z,['fr']
at://did:plc:3ah7euianvaron24u32iuimy/app.bsky.feed.post/3lv6c57y7vk2m,bafyreigqm3hp6bqe6v7bkczlawhaoectxxnj5czqaj7zqa3qhctjqtfeny,did:plc:3ah7euianvaron24u32iuimy,tomatesahraouie.bsky.social,Tomate sahraouie,"Et un modèle agro exportateur catastrophique, socialement et pour l'environnement. 
Que le Maroc impose au Sahara occidental.
Qui en parle ? tomatesahraouie.wordpress.com 
Comment la Grande Distribution soutient l’exploitation du SAHARA OCCIDENTAL",2025-07-30T09:19:42.087Z,0,0,0,2025-07-30T09:19:45.005Z,['fr']
at://did:plc:3ah7euianvaron24u32iuimy/app.bsky.feed.post/3lv6c4yl6ws2m,bafyreih2hjl2tqhra6dla2gueqkf6hlv7er7geyw5g3ty76cyvdj7ihw2i,did:plc:3ah7euianvaron24u32iuimy,tomatesahraouie.bsky.social,Tomate sahraouie,"Et un modèle agro exportateur catastrophique, socialement et pour l'environnement. 
Que le Maroc impose au Sahara occidental.
Qui en parle ? tomatesahraouie.wordpress.com 
Comment la Grande Distribution soutient l’exploitation du SAHARA OCCIDENTAL",2025-07-30T09:19:34.320Z,0,0,0,2025-07-30T09:19:37.207Z,['fr']
at://did:plc:hycn5zlofz7gdlx3axgeivan/app.bsky.feed.post/3lv6c3nz6xc2g,bafyreihxytzjrbp6hkyj7rzl4zch4vvfdwiqaohvyt5br5k2a4dlsa6wsq,did:plc:hycn5zlofz7gdlx3axgeivan,cloovis.bsky.social,Cloovis,Samuel Étienne était au salon de l’agriculture en partenariat avec intercereales (lobby agro industriel qui a contribué à l’écriture de la loi du plomb) sera au zevent pour booster sa carrière internet après avoir pris son chèque des gros céréaliers … ou est la cohérence ?,2025-07-30T09:18:49.689Z,1,0,4,2025-07-30T09:18:50.405Z,['fr']
at://did:plc:n42bfck3teljz22nluusqnyi/app.bsky.feed.post/3lv6b32mgtw2f,bafyreihriyen7skti4vzhra3vdyrite7zhjzf62n5nq4kg7usosmapboem,did:plc:n42bfck3teljz22nluusqnyi,folhadecuritiba.bsky.social,,"Marrocos Aposta no Agro Brasileiro: Acordos Comerciais Podem Impulsionar Setor, Afirma Embaixador #curitiba #folhadecuritiba",2025-07-30T09:00:37+00:00,1,0,0,2025-07-30T09:00:35.806Z,[]
at://did:plc:3ah7euianvaron24u32iuimy/app.bsky.feed.post/3lv6alljqpc2z,bafyreiauk3c7m6wceua5dujttoaejmdqwxlkl63vzgg7hz2vtprktrt6ii,did:plc:3ah7euianvaron24u32iuimy,tomatesahraouie.bsky.social,Tomate sahraouie,"Le Maroc s’engage fermement pour des systèmes alimentaires durables et inclusifs dakardirect.tv/2025/07/29/l...  
Tout est faux. Le système agro exportateur marocain est une cata sociale et environnementale. Et imposé au Sahara occidental tomatesahraouie.wordpress.com",2025-07-30T08:51:56.473Z,0,0,0,2025-07-30T08:51:58.910Z,['fr']
at://did:plc:ikwl3tokh5cmi6znqziepxbj/app.bsky.feed.post/3lv6ab554rs2u,bafyreicakuv4ylqmoqlu4nu53zgnfrmlztkymfbjcnador3eyt7kepdpka,did:plc:ikwl3tokh5cmi6znqziepxbj,remixcoux.bsky.social,,"Bonjour, av quelle casquette avez vous écrit ce poste svp? Lobbyiste de l'industrie phyto/agro, influenceuse anti sciences/désinformation ou pro génocide?",2025-07-30T08:46:05.836Z,0,0,0,2025-07-30T08:46:07.309Z,['en']
at://did:plc:hycn5zlofz7gdlx3axgeivan/app.bsky.feed.post/3lv67s6h4ys2g,bafyreibdlrlabhgj4hlxskhzkobswzz46g5246qx64zbrl4ijmzx4y2ida,did:plc:hycn5zlofz7gdlx3axgeivan,cloovis.bsky.social,Cloovis,Et Samuel Étienne qui fait la promo du lobby agro industriel il y’a quelques mois (ceux à l’origine de la loi duplomb) et fais son green washing au zevent c’est ok ?,2025-07-30T08:37:43.895Z,0,0,5,2025-07-30T08:37:44.704Z,['fr']
